"TEAM"	"POS.RANK"	"PLAYER"	"AGE"	"GP"	"W"	"L"	"MIN"	"PTS"	"FGM"	"FGA"	"FG_PCT"	"2PA"	"2PM"	"FG2_PCT"	"3PA"	"3PM"	"FG3_PCT"	"2PT_ATT_PER"	"3PT_ATT_PER"	"FTM"	"FTA"	"FT_PCT"	"PER_PTS_FT"	"PER_PTS_2P"	"PER_PTS_3P"	"OREB"	"DREB"	"REB"	"AST"	"TOV"	"STL"	"BLK"	"PF"	"FP"	"DD2"	"TD3"	"X..."	"POSITION"	"PLAYER_ID"	"RANK"	"color"	"team_color"
"45"	"BKN"	31	"Jarrett Allen"	21	64	30	34	25.7	10.6	4.2	6.5	64.6	6.4	4.2	65.62	0.1	0	0	98.46	1.54	2.3	3.7	62	21.7	79.25	0	3	6.4	9.5	1.3	1.1	0.6	1.3	2.3	28.6	26	0	0.5	"Center"	1628386	122	"#1B9E77"	"#061922"
"46"	"BKN"	52	"Joe Harris"	28	63	30	33	30.9	13.9	5.3	11.2	47.1	5.3	2.9	54.72	5.9	2.4	41.2	47.32	52.68	1	1.3	74.7	7.19	41.73	51.8	1	3.4	4.3	2.1	1.5	0.6	0.3	2.2	23.3	0	0	1.8	"Forward"	203925	84	"#D95F02"	"#061922"
"47"	"BKN"	78	"Nicolas Claxton"	20	15	5	10	12.5	4.4	1.8	3.2	56.3	2.7	1.7	62.96	0.5	0.1	14.3	84.38	15.62	0.7	1.4	52.4	15.91	77.27	6.82	1.3	1.7	2.9	1.1	0.6	0.1	0.5	0.9	10.7	0	0	-4.5	"Center"	NA	NA	"#1B9E77"	"#061922"
"48"	"BKN"	279	"Justin Anderson"	26	3	2	1	5.6	1	0.3	2	16.7	1	0.3	30	1	0	0	50	50	0.3	0.7	50	30	60	0	0	0.7	0.7	0	0	0	0.3	0.7	2.8	0	0	-2.7	"Forward"	NA	NA	"#D95F02"	"#061922"
"49"	"BKN"	40	"DeAndre Jordan"	31	56	27	29	22	8.3	3.4	5.1	66.6	5.1	3.4	66.67	0	0	0	100	0	1.5	2.2	68	18.07	81.93	0	2.5	7.5	10	1.9	1.3	0.3	0.9	2	25.6	13	0	-0.7	"Center"	201599	174	"#1B9E77"	"#061922"
"50"	"BKN"	179	"David Nwaba"	27	20	8	12	13.4	5.2	1.9	3.6	52.1	2.2	1.3	59.09	1.4	0.6	42.9	61.11	38.89	0.9	1.4	66.7	17.31	50	34.62	0.4	1.9	2.3	0.4	0.4	0.6	0.6	1.6	11.6	0	0	1.8	"Forward"	NA	NA	"#D95F02"	"#061922"
"51"	"BKN"	169	"David Nwaba"	27	20	8	12	13.4	5.2	1.9	3.6	52.1	2.2	1.3	59.09	1.4	0.6	42.9	61.11	38.89	0.9	1.4	66.7	17.31	50	34.62	0.4	1.9	2.3	0.4	0.4	0.6	0.6	1.6	11.6	0	0	1.8	"Guard"	NA	NA	"#7570B3"	"#061922"
"52"	"BKN"	199	"Nicolas Claxton"	20	15	5	10	12.5	4.4	1.8	3.2	56.3	2.7	1.7	62.96	0.5	0.1	14.3	84.38	15.62	0.7	1.4	52.4	15.91	77.27	6.82	1.3	1.7	2.9	1.1	0.6	0.1	0.5	0.9	10.7	0	0	-4.5	"Forward"	NA	NA	"#D95F02"	"#061922"
"53"	"BKN"	90	"Garrett Temple"	33	55	26	29	28.1	10.3	3.6	9.5	37.8	3.2	1.6	50	6.3	2	32.4	33.68	66.32	1	1.3	76.7	9.71	31.07	58.25	0.5	2.9	3.5	2.6	1	0.8	0.5	1.7	21	1	0	-0.8	"Guard"	202066	133	"#7570B3"	"#061922"
"54"	"BKN"	7	"Kyrie Irving"	27	20	8	12	32.9	27.4	10	20.8	47.8	13.7	7.2	52.55	7.1	2.8	39.4	65.87	34.13	4.7	5.1	92.2	17.15	52.55	30.66	1.1	4.1	5.2	6.4	2.6	1.4	0.5	2.7	46.1	3	1	-0.4	"Guard"	NA	NA	"#7570B3"	"#061922"
"55"	"BKN"	54	"Joe Harris"	28	63	30	33	30.9	13.9	5.3	11.2	47.1	5.3	2.9	54.72	5.9	2.4	41.2	47.32	52.68	1	1.3	74.7	7.19	41.73	51.8	1	3.4	4.3	2.1	1.5	0.6	0.3	2.2	23.3	0	0	1.8	"Guard"	203925	84	"#7570B3"	"#061922"
