"Player"	"TEAM"	"AGE"	"FGM"	"FGA"	"FG."	"FGM.1"	"FGA.1"	"FG..1"	"FGM.2"	"FGA.2"	"FG..2"	"FGM.3"	"FGA.3"	"FG..3"	"FGM.4"	"FGA.4"	"FG..4"	"FGM.5"	"FGA.5"	"FG..5"	"YEAR"
"184"	"Harry Giles III"	"SAC"	21	1.9	2.6	72.4	0.4	0.9	44.1	0.3	0.8	36.7	0.4	0.9	47.2	0.1	0.2	22.2	0	0	0	"2019-20"
"185"	"Hassan Whiteside"	"POR"	30	5.2	7.3	71.2	0.8	1.8	47.7	0.4	1	40.6	0.3	0.7	40.5	0.1	0.2	38.5	0	0.1	40	"2019-20"
"186"	"Henry Ellenson"	"BKN"	23	0.2	0.4	50	0	0.3	0	0	0	0	0	0	0	0	0.4	0	0	0.5	0	"2019-20"
"187"	"Ian Mahinmi"	"WAS"	33	2.1	3.6	58	0.4	1	40.5	0.1	0.1	40	0	0	0	0.1	0.2	33.3	0.1	0.5	21.1	"2019-20"
"188"	"Ignas Brazdeikis"	"NYK"	21	0.6	0.9	71.4	0	0.3	0	0	0.2	0	0	0.1	0	0	0.4	0	0.1	0.9	14.3	"2019-20"
"189"	"Iman Shumpert"	"BKN"	29	0.5	0.9	58.3	0	0	0	0.1	0.2	33.3	0.2	0.8	30	0.5	1.4	38.9	0.2	1.6	14.3	"2019-20"
"190"	"Isaac Bonga"	"WAS"	20	1.2	1.9	62.3	0.1	0.2	46.2	0	0.1	14.3	0	0	0	0.3	0.5	53.3	0.1	0.4	29.2	"2019-20"
"191"	"Isaiah Hartenstein"	"HOU"	21	1.8	2.3	76.5	0.2	0.5	44.4	0.1	0.1	50	0	0	0	0	0	0	0	0.2	0	"2019-20"
"192"	"Isaiah Roby"	"OKC"	22	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2019-20"
"193"	"Isaiah Thomas"	"WAS"	31	0.5	1.2	42.9	0.4	1.2	31.9	0.6	1.6	35.9	0.9	1.8	52.1	0.4	1.3	32	1.5	3.7	42	"2019-20"
"194"	"Ish Smith"	"WAS"	31	1.7	3	58.1	0.3	1	35.1	0.6	1.2	49.3	0.7	1.9	38.6	0.5	1.2	37.8	0.5	1.5	36.4	"2019-20"
"195"	"Ivica Zubac"	"LAC"	23	2.6	4.2	62	0.3	0.6	48.6	0.1	0.2	54.5	0.1	0.2	58.3	0	0	100	0	0	0	"2019-20"
"196"	"J.J. Barea"	"DAL"	35	1.1	2	55.8	0.2	0.8	22.7	0.1	0.5	23.1	0.2	0.4	40	0.5	1.1	44.8	0.8	2	38.5	"2019-20"
"197"	"J.P. Macura"	"CLE"	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	"2019-20"
"198"	"JJ Redick"	"NOP"	35	0.5	0.9	52.9	0.1	0.3	16.7	0.2	0.4	39.1	0.6	1.4	41.6	1.4	2.9	48.1	1.9	4.3	45.3	"2019-20"
"199"	"Ja Morant"	"MEM"	20	3.8	6.8	56	0.9	2.1	43.9	0.8	1.5	51.6	0.2	0.5	37.9	0.3	0.7	36.6	0.7	1.8	38.1	"2019-20"
"200"	"JaKarr Sampson"	"IND"	26	1.5	2.2	71.4	0.1	0.2	50	0.1	0.3	33.3	0.1	0.1	100	0	0.4	10	0	0.1	33.3	"2019-20"
"201"	"JaMychal Green"	"LAC"	29	0.8	1.4	56.4	0.1	0.2	38.5	0	0	0	0	0.1	50	0.6	1.5	41.8	0.7	2.3	31.7	"2019-20"
"202"	"JaVale McGee"	"LAL"	32	2.6	3.8	69.1	0.2	0.5	37.5	0.1	0.2	50	0	0	33.3	0	0	0	0	0.1	60	"2019-20"
"203"	"Jabari Parker"	"SAC"	25	4.2	6.2	68.5	0.5	1.2	41.5	0.2	0.5	33.3	0.2	0.5	29.4	0.5	1.6	30.2	0.5	2	24.6	"2019-20"
